"experimentID","participantID","activity","activity_sub_type","date_time","surface","hand","toilet_type","sex","id","surfaceCategories"
"YPPXM4223O","CEW005","Urination",NA,"Touched Sun Aug 07 2022 11:45:13 GMT+0100 (英国夏令时间)","Inside door handle","right","Female","Female","1 CEW005","Door"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:46:27 GMT+0100 (英国夏令时间)","Inside door handle","right","Female","Female","2 CEW005","Door"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:46:34 GMT+0100 (英国夏令时间)","Cubicle door handle outside","left","Female","Female","2 CEW005","Cubicle"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:46:36 GMT+0100 (英国夏令时间)","Cubicle door handle inside","left","Female","Female","2 CEW005","Cubicle"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:46:51 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","2 CEW005","Cubicle"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:46:54 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","2 CEW005","Personal"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:47:03 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","2 CEW005","Personal"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:47:11 GMT+0100 (英国夏令时间)","Skin","left","Female","Female","2 CEW005","Personal"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:47:19 GMT+0100 (英国夏令时间)","Phone","left","Female","Female","2 CEW005","Personal"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:47:26 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","2 CEW005","Personal"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:47:35 GMT+0100 (英国夏令时间)","Flush button","right","Female","Female","2 CEW005","Cubicle"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:47:44 GMT+0100 (英国夏令时间)","Phone","left","Female","Female","2 CEW005","Personal"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:57:48 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","2 CEW005","Cubicle"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:57:56 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","2 CEW005","Hygiene"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:58:09 GMT+0100 (英国夏令时间)","Soap dispenser","left","Female","Female","2 CEW005","Hygiene"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:58:16 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","2 CEW005","Hygiene"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:58:26 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","2 CEW005","Hygiene"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:58:34 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","2 CEW005","Personal"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:58:40 GMT+0100 (英国夏令时间)","Hand dryer","both","Female","Female","2 CEW005","Hygiene"
"WPNWF7148K","CEW005","Defecation",NA,"Touched Sun Aug 07 2022 11:58:48 GMT+0100 (英国夏令时间)","Inside door handle","left","Female","Female","2 CEW005","Door"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 11:58:52 GMT+0100 (英国夏令时间)","Inside door handle","right","Female","Female","3 CEW005","Door"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:00:33 GMT+0100 (英国夏令时间)","Cubicle door handle outside","left","Female","Female","3 CEW005","Cubicle"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:00:36 GMT+0100 (英国夏令时间)","Cubicle door handle inside","left","Female","Female","3 CEW005","Cubicle"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:00:41 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","3 CEW005","Cubicle"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:00:50 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","3 CEW005","Personal"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:00:56 GMT+0100 (英国夏令时间)","Sanitary pad","right","Female","Female","3 CEW005","MHM"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:01:06 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","3 CEW005","Personal"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:01:13 GMT+0100 (英国夏令时间)","Sanitary pad","left","Female","Female","3 CEW005","MHM"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:01:32 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","3 CEW005","Personal"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:01:47 GMT+0100 (英国夏令时间)","Flush button","right","Female","Female","3 CEW005","Cubicle"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:01:55 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","3 CEW005","Cubicle"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:02:11 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","3 CEW005","Hygiene"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:02:23 GMT+0100 (英国夏令时间)","Soap dispenser","left","Female","Female","3 CEW005","Hygiene"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:02:45 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","3 CEW005","Hygiene"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:02:47 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","3 CEW005","Hygiene"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:02:55 GMT+0100 (英国夏令时间)","Hand dryer","both","Female","Female","3 CEW005","Hygiene"
"RTIHL2258R","CEW005","MHM","sanitary pad","Touched Sun Aug 07 2022 12:02:57 GMT+0100 (英国夏令时间)","Inside door handle","left","Female","Female","3 CEW005","Door"
"MXKYM6897V","CEW015","Urination",NA,"Touched Sun Aug 07 2022 14:18:04 GMT+0099 (英国夏令时间)","Outside door handle","right","Female","Female","1 CEW015","Door"
"MXKYM6897V","CEW015","Urination",NA,"Touched Sun Aug 07 2022 14:18:11 GMT+0100 (英国夏令时间)","Cubicle door handle inside","left","Female","Female","1 CEW015","Cubicle"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:18:13 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","1 CEW015","Cubicle"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:18:14 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","1 CEW015","Personal"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:20:26 GMT+0100 (英国夏令时间)","Phone","left","Female","Female","1 CEW015","Personal"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:20:46 GMT+0100 (英国夏令时间)","Toilet paper","both","Female","Female","1 CEW015","Cubicle"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:20:47 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","1 CEW015","Personal"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:20:49 GMT+0100 (英国夏令时间)","Phone","left","Female","Female","1 CEW015","Personal"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:21:25 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","1 CEW015","Cubicle"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:21:27 GMT+0100 (英国夏令时间)","Flush button","right","Female","Female","1 CEW015","Cubicle"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:22:32 GMT+0100 (英国夏令时间)","Tap","left","Female","Female","1 CEW015","Hygiene"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:22:37 GMT+0101 (英国夏令时间)","Tap","right","Female","Female","1 CEW015","Hygiene"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:22:42 GMT+0102 (英国夏令时间)","Tissue paper","right","Female","Female","1 CEW015","Hygiene"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:22:49 GMT+0103 (英国夏令时间)","Tissue paper","right","Female","Female","1 CEW015","Hygiene"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:23:06 GMT+0100 (英国夏令时间)","Bin outside the cubicle","left","Female","Female","1 CEW015","Hygiene"
"MXKYM6897V","CEW015","Urination",NA,",Touched Sun Aug 07 2022 14:23:10 GMT+0100 (英国夏令时间)","Inside door handle","left","Female","Female","1 CEW015","Door"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:25:36 GMT+0099 (英国夏令时间)","Outside door handle","right","Female","Female","2 CEW015","Door"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:25:40 GMT+0100 (英国夏令时间)","Cubicle door handle inside","left","Female","Female","2 CEW015","Cubicle"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:25:41 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","2 CEW015","Personal"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:26:59 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","2 CEW015","Personal"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:27:01 GMT+0100 (英国夏令时间)","Toilet paper","both","Female","Female","2 CEW015","Cubicle"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:27:25 GMT+0100 (英国夏令时间)","Clothing","right","Female","Female","2 CEW015","Personal"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:27:26 GMT+0100 (英国夏令时间)","Toilet paper","both","Female","Female","2 CEW015","Cubicle"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:27:28 GMT+0100 (英国夏令时间)","Clothing","right","Female","Female","2 CEW015","Personal"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:27:30 GMT+0100 (英国夏令时间)","Toilet paper","both","Female","Female","2 CEW015","Cubicle"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:27:37 GMT+0100 (英国夏令时间)","Clothing","right","Female","Female","2 CEW015","Personal"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:27:42 GMT+0101 (英国夏令时间)","Clothing","both","Female","Female","2 CEW015","Personal"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:27:57 GMT+0102 (英国夏令时间)","Flush button","right","Female","Female","2 CEW015","Cubicle"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:27:59 GMT+0103 (英国夏令时间)","Toilet brush handle","left","Female","Female","2 CEW015","Cubicle"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:28:02 GMT+0104 (英国夏令时间)","Phone","left","Female","Female","2 CEW015","Personal"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:28:07 GMT+0105 (英国夏令时间)","Phone","right","Female","Female","2 CEW015","Personal"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:28:17 GMT+0106 (英国夏令时间)","Flush button","right","Female","Female","2 CEW015","Cubicle"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:28:23 GMT+0092 (英国夏令时间)","Tap","left","Female","Female","2 CEW015","Hygiene"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:28:40 GMT+0093 (英国夏令时间)","Tap","right","Female","Female","2 CEW015","Hygiene"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:28:54 GMT+0094 (英国夏令时间)","Tap","right","Female","Female","2 CEW015","Hygiene"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:28:58 GMT+0095 (英国夏令时间)","Tissue paper","right","Female","Female","2 CEW015","Hygiene"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:29:09 GMT+0096 (英国夏令时间)","Bin outside the cubicle","left","Female","Female","2 CEW015","Hygiene"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:29:23 GMT+0097 (英国夏令时间)","Phone","both","Female","Female","2 CEW015","Personal"
"MMHSI0598X","CEW015","Defecation",NA,",Touched Sun Aug 07 2022 14:29:33 GMT+0098 (英国夏令时间)","Inside door handle","left","Female","Female","2 CEW015","Door"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:30:17 GMT+0098 (英国夏令时间)","Outside door handle","right","Female","Female","3 CEW015","Door"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:30:23 GMT+0099 (英国夏令时间)","Cubicle door handle inside","left","Female","Female","3 CEW015","Cubicle"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:30:23 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","3 CEW015","Cubicle"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:32:54 GMT+0100 (英国夏令时间)","Bag","left","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:32:55 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:32:57 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:33:04 GMT+0100 (英国夏令时间)","Hair","both","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:33:11 GMT+0100 (英国夏令时间)","Sanitary pad","left","Female","Female","3 CEW015","MHM"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:33:21 GMT+0100 (英国夏令时间)","Sanitary pad","both","Female","Female","3 CEW015","MHM"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:33:48 GMT+0100 (英国夏令时间)","Bin inside the cubicle","left","Female","Female","3 CEW015","Cubicle"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:33:49 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:35:49 GMT+0100 (英国夏令时间)","Sanitary pad","left","Female","Female","3 CEW015","MHM"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:35:50 GMT+0100 (英国夏令时间)","Toilet paper","both","Female","Female","3 CEW015","Cubicle"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:35:53 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:36:20 GMT+0100 (英国夏令时间)","Flush button","right","Female","Female","3 CEW015","Cubicle"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:36:43 GMT+0100 (英国夏令时间)","Bag","left","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:37:55 GMT+0100 (英国夏令时间)","Phone","left","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:39:04 GMT+0100 (英国夏令时间)","Toilet brush handle","right","Female","Female","3 CEW015","Cubicle"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:39:06 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:41:20 GMT+0100 (英国夏令时间)","Flush button","right","Female","Female","3 CEW015","Cubicle"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:41:25 GMT+0100 (英国夏令时间)","Tap","left","Female","Female","3 CEW015","Hygiene"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:41:30 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","3 CEW015","Hygiene"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:41:37 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","3 CEW015","Hygiene"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:41:48 GMT+0100 (英国夏令时间)","Tissue paper","right","Female","Female","3 CEW015","Hygiene"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:41:55 GMT+0100 (英国夏令时间)","Bin outside the cubicle","left","Female","Female","3 CEW015","Hygiene"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:42:02 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:42:37 GMT+0100 (英国夏令时间)","Hair","both","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:42:38 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:42:59 GMT+0100 (英国夏令时间)","Bag","left","Female","Female","3 CEW015","Personal"
"UBTTQ3458J","CEW015","MHM","sanitary pad",",Touched Sun Aug 07 2022 14:43:01 GMT+0100 (英国夏令时间)","Inside door handle","left","Female","Female","3 CEW015","Door"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:44:34 GMT+0100 (英国夏令时间)","Cubicle door handle outside","left","Female","Female","1 CEW017","Cubicle"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:44:35 GMT+0100 (英国夏令时间)","Cubicle door handle inside","left","Female","Female","1 CEW017","Cubicle"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:44:50 GMT+0100 (英国夏令时间)","Toilet paper","left","Female","Female","1 CEW017","Cubicle"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:44:59 GMT+0100 (英国夏令时间)","Toilet paper","right","Female","Female","1 CEW017","Cubicle"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:45:02 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","1 CEW017","Personal"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:45:10 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","1 CEW017","Personal"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:45:20 GMT+0100 (英国夏令时间)","Hair","both","Female","Female","1 CEW017","Personal"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:45:30 GMT+0100 (英国夏令时间)","Toilet paper","both","Female","Female","1 CEW017","Cubicle"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:45:36 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","1 CEW017","Personal"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:45:52 GMT+0100 (英国夏令时间)","Flush button","left","Female","Female","1 CEW017","Cubicle"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:45:52 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","1 CEW017","Personal"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:46:09 GMT+0100 (英国夏令时间)","Soap dispenser","left","Female","Female","1 CEW017","Hygiene"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:46:14 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","1 CEW017","Hygiene"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:46:17 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","1 CEW017","Hygiene"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:46:21 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","1 CEW017","Hygiene"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:46:30 GMT+0100 (英国夏令时间)","Soap dispenser","left","Female","Female","1 CEW017","Hygiene"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:46:32 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","1 CEW017","Hygiene"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:46:36 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","1 CEW017","Hygiene"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:46:51 GMT+0100 (英国夏令时间)","Hand dryer","both","Female","Female","1 CEW017","Hygiene"
"NZFQO4331M","CEW017","Urination",NA,"Touched Sat Aug 06 2022 14:46:59 GMT+0100 (英国夏令时间)","Inside door handle","right","Female","Female","1 CEW017","Door"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:48:21 GMT+0100 (英国夏令时间)","Cubicle door handle outside","left","Female","Female","2 CEW017","Cubicle"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:48:23 GMT+0100 (英国夏令时间)","Cubicle door handle inside","left","Female","Female","2 CEW017","Cubicle"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:48:26 GMT+0100 (英国夏令时间)","Cubicle door handle inside","right","Female","Female","2 CEW017","Cubicle"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:48:28 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","2 CEW017","Personal"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:48:33 GMT+0100 (英国夏令时间)","Phone","right","Female","Female","2 CEW017","Personal"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:48:39 GMT+0100 (英国夏令时间)","Toilet paper","both","Female","Female","2 CEW017","Cubicle"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:48:53 GMT+0100 (英国夏令时间)","Clothing","both","Female","Female","2 CEW017","Personal"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:49:00 GMT+0100 (英国夏令时间)","Flush button","right","Female","Female","2 CEW017","Cubicle"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:49:04 GMT+0100 (英国夏令时间)","Cubicle door handle inside","left","Female","Female","2 CEW017","Cubicle"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:49:08 GMT+0100 (英国夏令时间)","Soap dispenser","left","Female","Female","2 CEW017","Hygiene"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:49:11 GMT+0100 (英国夏令时间)","Tap","right","Female","Female","2 CEW017","Hygiene"
"CNCNL8817S","CEW017","Defecation",NA,"Touched Sat Aug 06 2022 16:49:20 GMT+0100 (英国夏令时间)","Soap dispenser","left","Female","Female","2 CEW017","Hygiene"
